Designation,Company,Salary from InsiderInc
QA Test Analyst,Voxiva,5.1
Project Lead,Volkswagen,7.6
Sales Consultant,Volkswagen,1.9
Test Engineer,Votary Softech Solutions Pvt. Ltd.,10.6
Architect,Voxwill Technologies Pvt. Ltd.,9.4
Developer,Voxwill Technologies Pvt. Ltd.,7.6
IOS Developer,Voxwill Technologies Pvt. Ltd.,7.1
Software Engineer,Voxwill Technologies Pvt. Ltd.,7.6
OSS Engineer,Vodafone,3.3
Software Technical Lead,Volvo,10.2
System Administrator,Vriddhi Management Solutions,9.4
Developer,VRWeb solutions,3.5
Assistant Manager,VSNL,7.4
Manager,VSNL,15.8
Manager Business Excellence,VSNL,16.8
IOS Developer,Vvdn technologies pvt ltd,4
Project Lead,Vyom Labs,7
Senior Accountant,Vyom Labs,4.5
Tester,Vyom Labs,3.2
Trainee - Sales,Vyom Labs,2.7
Software Engineer,WABCO,6.6
Principal Engineer,Walmart Labs,32.9
Senior Engineer,Walmart Labs,27.8
Human Resources Executive,Wartsila,2.9
Assistant Manager - Production,Wago & Controls,6
Software Engineer,Webyog,4.8
Analyst,Wells Fargo,5.4
QA Engineer II,Wells Fargo,6.1
Senior Applications Developer,Wells Fargo,26.4
Technology Specialist,Wells Fargo,8.5
Trainee Web Engineer,Webonise Lab,15.8
Web Developer,Webcontext Technologies,14.1
Mobile Application Developer,WebDecorum,4.7
IT Recruiter,Wenger & Watson Inc.,2.8
Mobile Application Developer,Webengage,22.4
Senior Inside Sales Representative (Lead Generation),Webengage,25.5
Software Developer,Webengage,6.3
Business Manager,WhiteSnow Software Consultancy,4
Senior Software Engineer,WhiteSnow Software Consultancy,4.1
Architect,Wipro Technologies,15.1
Assistant Engineer,Wipro Technologies,4.6
Assistant Manager,Wipro Technologies,14.3
Associate Consultant,Wipro Technologies,9.9
Business Analyst,Wipro Technologies,10.5
Consultant,Wipro Technologies,11.1
Consultant I,Wipro Technologies,12.1
Delivery Manager,Wipro Technologies,17.1
Engineer Applications Management,Wipro Technologies,6.3
Information Security Analyst,Wipro Technologies,3.5
Java Architect,Wipro Technologies,12.6
Module Lead,Wipro Technologies,7.4
Network Engineer,Wipro Technologies,5
Officer,Wipro Technologies,2.4
Pre-Sales Consultant,Wipro Technologies,11.8
Product Manager,Wipro Technologies,15.1
Program Manager,Wipro Technologies,18.1
Project Engineer,Wipro Technologies,4
Project Lead,Wipro Technologies,8.7
Project Manager,Wipro Technologies,14.7
SEO Executive,Wipro Technologies,15
Senior Architect,Wipro Technologies,30
Senior Business Analyst,Wipro Technologies,12.9
Senior Consultant,Wipro Technologies,13.5
Senior Engineer,Wipro Technologies,8.1
Senior Project Engineer,Wipro Technologies,4.6
Senior Project Manager,Wipro Technologies,20.1
Senior Software Engineer,Wipro Technologies,5.5
Senior Specialist Systems,Wipro Technologies,13.6
Senior Systems Engineer,Wipro Technologies,4.7
Senior Technology Consultant,Wipro Technologies,13.9
Senior Test Engineer,Wipro Technologies,4.7
Software Engineer,Wipro Technologies,4.5
Solutions Architect,Wipro Technologies,22.5
Storage Admin Administration,Wipro Technologies,5.2
System Administrator,Wipro Technologies,5.4
Systems Administrator,Wipro Technologies,5.8
Systems Analyst,Wipro Technologies,9.8
Systems Engineer,Wipro Technologies,3.9
Tech Lead,Wipro Technologies,9.2
Technical Architect,Wipro Technologies,8.4
Technical Consultant,Wipro Technologies,11.4
Technical Lead,Wipro Technologies,11.2
Technical Manager,Wipro Technologies,26.2
Technical Project Lead,Wipro Technologies,14.5
Test Engineer,Wipro Technologies,4.6
Test Lead,Wipro Technologies,7.7
Trainee Engineer,Wipro Technologies,3.4
VLSI Project Engineer,Wipro Technologies,4.6
Senior Software Engineer,Winshuttle,10.7
Engineer - Professional Services,Wipro EcoEnergy,3.3
Test Engineer,Wipro EcoEnergy,3.6
PHP Developer,Williams Commerce,7.1
Software Engineer,Willy Online Pty Ltd,4.7
Software Engineer,Winjit,3
Assistant Manager,WNS,8.8
SAP Consultant,WNS,7.5
Senior Analyst,WNS,8.6
Senior Associate (Operations),WNS,4.2
Senior Engineer,WS Atkins,7.6
Software Engineer,Xchanging,4.5
Project Manager,Xerox,16.8
Technical Support,Xenosoft Technologies,4.3
Design Engineer,Xilinx,9.5
Senior Software Engineer,Xilinx,7.9
Senior Finance Associate,XL INDIA,4.7
Test Engineer,XL Dynamics,4.4
Junior Research Analyst,XYZ,10.8
Business Analyst,Yahoo,11.1
Manager Operations,Yahoo,35.3
Principal Software Engineer,Yahoo,26.2
Product Manager,Yahoo,21.9
Program Manager,Yahoo,25.1
Research Engineer,Yahoo,9.1
Senior Software Developer,Yahoo,17.6
Senior Software Engineer,Yahoo,12.1
Senior Systems Engineer,Yahoo,10.2
Software Engineer,Yahoo,10.1
Software Engineering Manager,Yahoo,24.3
Technical Lead,Yahoo,14.8
Deputy Manager,Yatra.com,5.3
Human Resources Executive,Yatra.com,2.5
Senior Travel Consultant,Yatra.com,3.9
Software Engineer,Yatra.com,7.9
Travel Consultant,Yatra.com,2.4
Director,Yes Bank,33.1
Manager,Yes Bank,12
Associate Software Engineer,Yodlee,4.7
Member of Technical Staff,Yodlee,13.7
Senior Software Engineer,Yodlee,10.5
Software Engineer,Yodlee,4.5
Associate,Yokogawa India ltd,3.2
Team Lead,Zamil Information Technology,10.6
Junior Software Engineer,Zensar Technologies,2.8
Project Manager,Zensar Technologies,14.9
Project Manager - IT,Zensar Technologies,14.8
Senior Business Analyst,Zensar Technologies,9.6
Senior Consultant,Zensar Technologies,11.3
Senior Software Engineer,Zensar Technologies,9.7
Senior Technical Lead,Zensar Technologies,11.3
Software Engineer,Zensar Technologies,3.9
Tech Specialist,Zensar Technologies,8.7
Programmer,Zeus Learning,5.4
Associate,Zen3 Infosolutions,2.6
Embedded,Zebros,2.5
Test Engineer,Zedo (India) Pvt. Ltd.,5.9
Developer,Zenith Monitoring Services Pvt. Ltd,14.7
Software Engineer,Zenith Monitoring Services Pvt. Ltd,3.9
Software Engineer,Zeesense Systems,4.4
Software Engineer,Zentech Offshore Engineering,9.1
Head - Digital Content,Zee Learn,9.4
SEO & Internet Marketing,Zensly,1
Member of Technical Staff,Zoho,9.9
Associate Consultant,ZS Associates,8.9
Associate Software Developer,ZS Associates,8.2
Business Analyst,ZS Associates,8.6
Business Associate Consultant,ZS Associates,9.5
Business Operations Associate,ZS Associates,7.5
Business Technology Analyst,ZS Associates,4.7
Business Technology Associate,ZS Associates,5.9
Consultant,ZS Associates,17.1
Consulting Manager,ZS Associates,25.3
General Analytics Associate,ZS Associates,8.7
Associate Software Engineer,Zycus,4
Manager,Zycus,4
Software Engineer,Zycus,4.2
Associate Software Engineer,Zynga,7.6
Senior Software Engineer,Zynga,18.9
Software Engineer,Zynga,12.6
